,1,2,L,A,B
,ホワイト系,white,100,0,0
,ブラック系,black,0,0,0
,グレー系,gray,54,0,0
,ブラウン系,brown,38,50,31
,ベージュ系,PeachPuff3,96,-4,12
,グレーン系,green1,46,-52,50
,ブルー系,blue,32,79,-108
,ブルー系,dodger blue,59,-8,-44
,ブルー系,DodgerBlue,65,-14,-38
,ブルー系,deep sky blue,83,-12,-17
,ブルー系,sky blue,49,20,-60
,ブルー系,LightSkyBlue,46,10,-41
,ブルー系,SteelBlue,35,20,-57
,ブルー系,PowderBlue,66,2,-29
,パープル系,purple,30,59,-36
,イエロー系,yellow,97,-22,94
,イエロー系,gold,94,-13,68
,イエロー系,LightGoldenrod,92,-11,91
,イエロー系,LightYellow,87,-3,87
,イエロー系,LightGoldenrodYellow,93,-19,83
,イエロー系,khaki,90,-9,60
,イエロー系,PaleGoldenrod,91,-5,46
,ピンク系,pink,81,28,5
,レッド系,red,53,80,67
,レッド系,OrangeRed,48,75,41
,レッド系,tomato,46,61,33
,レッド系,coral,48,59,51
,レッド系,LightCoral,35,56,39
,オレンジ系,orange,75,24,79
,シルバー系,grey77,78,0,0
,ゴールド系,gold1,87,-2,87